annee_code_dpt;politique (parti);securite (Nombre_de_délits);socio_economie (PIB_par_Inflation);sante (Espérance_de_Vie_H/F);environnemental (Parc_installé_éolien_MW);education (Nombre_Total_Établissements);demographie (Population_Totale);technologie (Dépenses_en_R&D_en_pourcentages)
2000_72;;21462;21148.06;79.65;0.0;4;136694;2.09
2000_73;;30232;23296.61;79.45;0.0;5;95386;2.09
2000_74;;38104;23296.61;79.75;0.0;9;171838;2.09
2000_75;;296546;38685.69;80.55;0.0;4;410964;2.09
2000_76;;72207;20931.63;78.25;0.0;23;339398;2.09
2000_77;;85989;38685.69;78.8;0.0;53;358435;2.09
2000_78;;95968;38685.69;80.3;0.0;13;389275;2.09
2000_79;;9677;20284.31;80.25;0.0;7;83699;2.09
2000_80;;32002;18920.81;77.55;0.0;22;147969;2.09
2000_81;;13310;19347.76;80.25;0.0;11;78292;2.09
2000_82;;9651;19347.76;79.8;0.0;3;49299;2.09
2000_83;;72544;21659.62;79.65;0.0;1;214744;2.09
2000_84;;39294;21659.62;79.2;0.0;2;131489;2.09
2000_85;;19589;21148.06;79.35;0.0;11;135463;2.09
2000_86;;15677;20284.31;79.85;0.0;4;95772;2.09
2000_87;;14229;20284.31;79.6;0.0;8;74621;2.09
2000_88;;11830;21515.99;77.95;0.0;6;98601;2.09
2000_89;;16245;20816.53;77.8;0.0;12;83262;2.09
2000_90;;7074;20816.53;78.55;0.0;1;36244;2.09
2000_91;;75602;38685.69;79.95;0.0;6;322366;2.09
2000_92;;108760;38685.69;80.6;0.0;9;354340;2.09
2000_93;;132867;38685.69;78.6;0.0;90;406542;2.09
2000_94;;103160;38685.69;80.0;0.0;41;319170;2.09
2000_95;;105247;38685.69;79.3;0.0;3;334840;2.09
2001_01;;24984;23978.16;80.05;3.0;3;145856;2.14
